FTTH;ID
1000009228;1
1000014406;2
1000014150;3
1000014201;4
1000014195;5
1000014202;6
1000014203;7
1000009419;8
1000014205;9
1000014209;10
1000014211;11
1000014212;12
1000014213;13
1000014250;14
1000014257;15
1000014264;16
1000014306;17
1000014407;18
1000014431;19
1000014007;55
