NS_FTTH;AGENCIA;EMPLAZAMIENTO;FABRICANTE;MODELO;HOSTNAME;IPADDRESS;RACK;SHELF;SLOT;SUBSLOT;PORT;PORT_TYPE;ID_FIBRA;ESTADO_OPERACIONAL;ESTADO_ADMINISTRATIVO;ESTADO_USO;ESTADO_GENERAL;GESTIONADO;ZONA_COBERTURA;INF_ADICIONAL;INF_COMERCIAL;AGREGADOR_HOSTNAME;AGREGADOR_MODELO;AGREGADOR_IPADDRESS;AGREGADOR_RACK;AGREGADOR_SHELF;AGREGADOR_SLOT;AGREGADOR_SUBSLOT;AGREGADOR_PUERTO;ID_PUERTO;ACCESS_ID
56228881551;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;4;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000088901
1000014005;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;6;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014005
4,50E+11;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;8;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;4,50E+11
1000014185;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;23;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014185
1000014004;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;25;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014004
1000014153;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;26;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014153
1000009253;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;28;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009253
1000014064;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;40;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014064
4,50E+11;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;41;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;4,50E+11
123456;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;44;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;123456
