FTTH;ID
1000014007;55
1000088891;52
1000014064;37
1000014004;23
1000014005;8
1000009253;25
1000014153;22
4,50006E+11;57
1000014184;58
1000009312;36
1000009324;9
1000009256;6
1000014147;17
1000009333;56
1000009273;60
1000009274;21
1000009303;33
1000009307;53
1000014144;1
1000009334;45
1000014148;15
1000009337;40
1000014166;27
1000014167;37
1000009346;59
1000009357;34
1000014169;0
1000014170;55
1000014171;18
1000014172;2
1000014173;4
1000014187;14
